Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Эта песня хвалы словно птица,Океан Божьей любви,,,"Океан Божьей любви (https://dl.airtable.com/3rl3CaDQwC1JhAT7FdeA_%D0%9E%D0%BA%D0%B5%D0%B0%D0%BD%20%D0%91%D0%BE%D0%B6%D1%8C%D0%B5%D0%B9%20%D0%BB%D1%8E%D0%B1%D0%B2%D0%B8),Эта песня хвалы Em (https://dl.airtable.com/CNewjfx8SxCkQHiBeoXl_%D0%AD%D1%82%D0%B0%20%D0%BF%D0%B5%D1%81%D0%BD%D1%8F%20%D1%85%D0%B2%D0%B0%D0%BB%D1%8B%20Em),Эта песня хвалы Fm (https://dl.airtable.com/7tEKf4fXTb6CRHXZy9xA_%D0%AD%D1%82%D0%B0%20%D0%BF%D0%B5%D1%81%D0%BD%D1%8F%20%D1%85%D0%B2%D0%B0%D0%BB%D1%8B%20Fm)",,"Em,Fm",6/8,Медленный,60,Любовь Благодать и Милость,,10.6.2018,
В страну молчания вселилась,,Кузнецов В.П. Баязова С.Р.,,В страну молчания вселилась (https://dl.airtable.com/51En7KgmQZmrH5IB5vur_%D0%92%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%83%20%D0%BC%D0%BE%D0%BB%D1%87%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%B2%D1%81%D0%B5%D0%BB%D0%B8%D0%BB%D0%B0%D1%81%D1%8C),,E,4/4,Умеренный,96,"Страдания Жертва Воскресение Искупление,Любовь Благодать и Милость",,10.6.2018,
Любовь Твоя,,,,"""Любовь Твоя о Господь, бесконечна (https://dl.airtable.com/am0pmxGaSagSZOsJ3qSC_%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%20%D0%A2%D0%B2%D0%BE%D1%8F%20%D0%BE%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%2C%20%D0%B1%D0%B5%D1%81%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B0)""",,D,4/4,Медленный,66,Любовь Благодать и Милость,,10.6.2018,
Чем могу воздать,Тебе моя слава,,,Чем могу воздать (https://dl.airtable.com/i7kTXyDSSJO4JYdkYjwa_%D0%A7%D0%B5%D0%BC%20%D0%BC%D0%BE%D0%B3%D1%83%20%D0%B2%D0%BE%D0%B7%D0%B4%D0%B0%D1%82%D1%8C),,B,4/4,Медленный,66,,,8.4.2018,
Аллилуйя слава Святой святых,"Он был, Он есть…",ахвегс,,Аллилуйя слава (https://dl.airtable.com/6uO12tESyeTigD936uUE_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B0),Аллилуйя слава Святой святых (Key - D).pdf (https://dl.airtable.com/ZWWtoB4jSPOTphel5ltc_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B0%20%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D1%81%D0%B2%D1%8F%D1%82%D1%8B%D1%85%20(Key%20-%20D).pdf),D,4/4,Быстрый,140,Прославление,,8.4.2018,
Давайте славить Христа,,,,Давайте славить Христа (https://dl.airtable.com/DoTAAYLSSaCFjMoQkRh1_%D0%94%D0%B0%D0%B2%D0%B0%D0%B9%D1%82%D0%B5%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C%20%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0),,G,4/4,Медленный,66,Призыв к Поклонению,,8.4.2018,
Весна все обновила вновь,Христос воскрес,,,Весна всё обновила вновь (Христос воскрес) (https://dl.airtable.com/9ukVWMADRRiA0xm5xpzy_%D0%92%D0%B5%D1%81%D0%BD%D0%B0%20%D0%B2%D1%81%D1%91%20%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%B8%D0%BB%D0%B0%20%D0%B2%D0%BD%D0%BE%D0%B2%D1%8C%20(%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%81%20%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81)),,G,4/4,Умеренный,84,Прославление,Пасха,8.4.2018,
Иисус Твою победу празднуем,,ахвегс,,Иисус  Твою победу празднуем (https://dl.airtable.com/QL254p8qTRSiim9Z0eJF_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%20%D0%A2%D0%B2%D0%BE%D1%8E%20%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D1%83%20%D0%BF%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D1%83%D0%B5%D0%BC),,"F,G",4/4,Быстрый,,Прославление,,25.2.2018,
Восхвалю Тебя Господь ,,ахвегс,,Восхвалю (https://dl.airtable.com/Lnc5mGASwySdSBpxGguI_%D0%92%D0%BE%D1%81%D1%85%D0%B2%D0%B0%D0%BB%D1%8E),Восхвалю Тебя Господь (Key - C).pdf (https://dl.airtable.com/EghhiFjbTaS3jlmHbr0V_%D0%92%D0%BE%D1%81%D1%85%D0%B2%D0%B0%D0%BB%D1%8E%20%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20(Key%20-%20C).pdf),"C,B,A",4/4,Умеренный,70,Прославление,,18.2.2018,
Я хочу исполнить волю Твою,,Новое Поколение,,Я хочу исполнить волю Твою (https://dl.airtable.com/GimPJbDSHmBgAldfi46A_%D0%AF%20%D1%85%D0%BE%D1%87%D1%83%20%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D1%8C%20%D0%B2%D0%BE%D0%BB%D1%8E%20%D0%A2%D0%B2%D0%BE%D1%8E),,Cm,2/4,Медленный,,"Любовь Благодать и Милость,Страдания Жертва Воскресение Искупление",Причастие,31.1.2018,
Да славит Тебя ,,,,Да славит Тебя душа моя (https://dl.airtable.com/3qwY24ZFSTiHD4PvuWmP_%D0%94%D0%B0%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%20%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%B4%D1%83%D1%88%D0%B0%20%D0%BC%D0%BE%D1%8F),,F,,Умеренный,,Прославление,,28.1.2018,Пс.29:13
Твоя слава пусть сойдет,Отец творенья,ахвегс,,Твоя слава пусть сойдёт (https://dl.airtable.com/a9wAxbLLQTSDrLD0qsAg_%D0%A2%D0%B2%D0%BE%D1%8F%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B0%20%D0%BF%D1%83%D1%81%D1%82%D1%8C%20%D1%81%D0%BE%D0%B9%D0%B4%D1%91%D1%82),,F,4/4,Медленный,70,,,28.1.2018,
Иисус Иисус Помазаник святой ?,,,,,,G,4/4,Умеренный,70,,,10.1.2018,
Буду петь и плясать,,,,,,C,2/4,,,,,,
С вышней хвалой,,,,,,,4/4,Быстрый,,,,,
Серцем моим,,,,,,,,,,,,,
Милостивый Боже ,,,,,,Dm,4/4,Умеренный,,,,,
О Иисус Иисус,,,,,,,,,,,,,
Поклонись Божью величию,,,,,,,4/4,Умеренный,,,,,
Иду к Тебе Господь ,,ахвегс,,Иду к Тебе Господь (https://dl.airtable.com/ELP1cWI5THGmNluvaGGr_%D0%98%D0%B4%D1%83%20%D0%BA%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,G,4/4,Медленный,68,,,,
Отца мы любим ,,ахвегс,,,,C,,,,,,,
Да восстанет Бог ,,,,,,F,2/4,,,,,,
Много в жизни дорог ,,,,,,F,4/4,Умеренный,,,,,
Идите в Святое Святых ,,ахвегс,,Идите в Святое святых (https://dl.airtable.com/t9YnvUET02KBSgzXHL2z_%D0%98%D0%B4%D0%B8%D1%82%D0%B5%20%D0%B2%20%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B5%20%D1%81%D0%B2%D1%8F%D1%82%D1%8B%D1%85),,"A,G",4/4,Умеренный,74,,,,
Ищу сердца Твоего (Дэнс),,,,,,Em,4/4,Быстрый,,,,,
Моя рука благословлена ,,ахвегс,,,,F,4/4,Быстрый,150,,,,
Живущий под покровом ,,ахвегс,,,,,2/4,Умеренный,76,,,,
Тебя Господь люблю я славить,,,,,,,,,,,,,
Ты мой благой Бог,,,,,,,,,,,,,
Тебе пою всем сердцем я,,,,Тебе пою всем сердцем я (https://dl.airtable.com/QhpNJ1cpQsSwIMwoXlnH_%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%BF%D0%BE%D1%8E%20%D0%B2%D1%81%D0%B5%D0%BC%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%D0%BC%20%D1%8F),,F,4/4,Умеренный,,,,,
Божий Сын Иисус,,,,Божий Сын Иисус (https://dl.airtable.com/0aKwRkUdTzOjolb1jTBh_%D0%91%D0%BE%D0%B6%D0%B8%D0%B9%20%D0%A1%D1%8B%D0%BD%20%D0%98%D0%B8%D1%81%D1%83%D1%81),,D,4/4,Умеренный,90,"Прославление,Утверждение и Посвящение",Причастие,,
Новое время новый елей ,,,,,,F,4/4,Быстрый,,,,,
Он Господь Он Господь,,,,,,G,,,,,,,
Пой Иисусу новую песню ,,ахвегс,,,,,4/4,Быстрый,130,,,,
Я благославлю ,,ахвегс,,Я благословлю (https://dl.airtable.com/DBraXfrNQSKLtT9wCuhp_%D0%AF%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%81%D0%BB%D0%BE%D0%B2%D0%BB%D1%8E),,Dm,2/4,,,,,,
Мы славим поем хвалу ,,ахвегс,,Мы славим поём хвалу (https://dl.airtable.com/vP9mIL5YTompv0TnzYZM_%D0%9C%D1%8B%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D0%BC%20%D0%BF%D0%BE%D1%91%D0%BC%20%D1%85%D0%B2%D0%B0%D0%BB%D1%83),,"C,D",4/4,Умеренный,,,,,
Через внешние дворы ,,ахвегс,,Через внешние дворы (https://dl.airtable.com/vVcFX5F7TTOqffXR68zX_%D0%A7%D0%B5%D1%80%D0%B5%D0%B7%20%D0%B2%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B2%D0%BE%D1%80%D1%8B),,Dm,4/4,Медленный,,,,,
Как прекрасен этот день,С Рождеством Тебя,Imprintband,,Как прекрасен этот день (https://dl.airtable.com/8mKhlRorSdaafxFVtK1h_%D0%9A%D0%B0%D0%BA%20%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%B5%D0%BD%20%D1%8D%D1%82%D0%BE%D1%82%20%D0%B4%D0%B5%D0%BD%D1%8C),,E,4/4,Умеренный,,Утверждение и Посвящение,Рождество,,
Когда любовь приходит с неба  ,Можно в меру быть...,Дарина Кочанжи,,Когда любовь приходит с неба (https://dl.airtable.com/NcHfWAcKSg6ufjR1ZPSb_%D0%9A%D0%BE%D0%B3%D0%B4%D0%B0%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%20%D0%BF%D1%80%D0%B8%D1%85%D0%BE%D0%B4%D0%B8%D1%82%20%D1%81%20%D0%BD%D0%B5%D0%B1%D0%B0),,Am,2/4,Медленный,,Любовь Благодать и Милость,,,
Да он есть Альфа и Омега,,ахвегс,,,,G,4/4,,,,,,
Мессия ,,ахвегс,,,,G,4/4,Быстрый,,,,,
Иисус зажги мое сердце,,,,,,,,,,,,,
Если мой народ   ,,А. Ледяев,,Если Мой народ (https://dl.airtable.com/IQ7sKEfdT5eX4oKZJ1R2_%D0%95%D1%81%D0%BB%D0%B8%20%D0%9C%D0%BE%D0%B9%20%D0%BD%D0%B0%D1%80%D0%BE%D0%B4),,,,Умеренный,,Любовь Благодать и Милость,,,
Ты пастырь мой,,,,,,,,,,,,,
Через моря и горы ,,ахвегс,,Через моря и горы (https://dl.airtable.com/7sL8lYFoRZyHjf7UTkKT_%D0%A7%D0%B5%D1%80%D0%B5%D0%B7%20%D0%BC%D0%BE%D1%80%D1%8F%20%D0%B8%20%D0%B3%D0%BE%D1%80%D1%8B),,D,4/4,Умеренный,,,,,
Я взойду я взойду на Твою святую гору,,,,Я взойду (https://dl.airtable.com/sCaQnqJxSYWgDtemImlm_%D0%AF%20%D0%B2%D0%B7%D0%BE%D0%B9%D0%B4%D1%83),,"Dm,Em",2/4,Умеренный,,Прославление,Десятина,,
Святый Святый Ты достоин,,Рон Кенолли,,Святый Святый Ты достоин (https://dl.airtable.com/7PUkzvkcT1WFZ57df1tv_%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%A2%D1%8B%20%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B8%D0%BD),,Am,4/4,Умеренный,,"Прославление,Утверждение и Посвящение",,,
Святый святый святый Бог ,Осанна Богу неба,ахвегс,,Святый святый святый Бог (https://dl.airtable.com/R0ZEHqdsRyiU2PX5bg1U_%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D1%81%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D1%81%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%91%D0%BE%D0%B3),,C,4/4,Умеренный,,,,,
Иисус сейчас здесь ,,дело веры,,,,C,4/4,Умеренный,,,,,
Пусть река течет,,,,,,,4/4,Умеренный,116,,,,
Бог Ты скала ,,,,,,Bm,4/4,Умеренный,,Вера и Истина,,,
Иисус имя всех выше ,,ахвегс,,Иисус имя всех выше (https://dl.airtable.com/VNz92VzuSEiRVuItygXU_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%B8%D0%BC%D1%8F%20%D0%B2%D1%81%D0%B5%D1%85%20%D0%B2%D1%8B%D1%88%D0%B5),,"C,D,F",12/8,Умеренный,60,,,,
Бог мира вскоре сокрушит сатану под ноги твои,,,,,,"D,E",4/4,Быстрый,136,,,,
Хвала Царь Иисус,,,,Хвала Царь Иисус (https://dl.airtable.com/9DoECKO8R3m8l3EmpUHl_%D0%A5%D0%B2%D0%B0%D0%BB%D0%B0%20%D0%A6%D0%B0%D1%80%D1%8C%20%D0%98%D0%B8%D1%81%D1%83%D1%81),,E,4/4,,,,,,
В лугах зеленых ,,,,,,Dm,2/4,,,,,,
Блаженны будут стопы благовестников,Правит Бог,ахвегс,,Блаженны будут стопы (https://dl.airtable.com/QNjXa30zTRKLr3eK51HA_%D0%91%D0%BB%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%20%D0%B1%D1%83%D0%B4%D1%83%D1%82%20%D1%81%D1%82%D0%BE%D0%BF%D1%8B),,"D,G,A",4/4,Умеренный,80,Благовествование,,,
О Иерусалим,,,,,,,,,,,,,
О я люблю Тебя ,,,,,,"C,D",2/4,Умеренный,,,,,
"На кресте, на кресте я увидел тот свет",,,,,,D,4/4,Умеренный,,,,,
За Тобою смело будем идти,,,,,,G,2/4,,,,,,
Иисус  Пастырь мой,,Кузнецов В.П. Баязова С.Р.,,Иисус Пастырь мой (https://dl.airtable.com/R4eIJbVCSXZTmTijLnMg_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%9F%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C%20%D0%BC%D0%BE%D0%B9),,E,,Быстрый,,,Десятина,,
Твоя кровь что омыла нас,Иисус кровь Твоя нас убелила,,,,,,4/4,Умеренный,,,,,
Отче Ты смыслом жизни стал моей ,,,,,,G,,,,,,,
Все шипы обратятся в звезды,,Дарина Кочанжи,,,,,,,,,,,
Он лишь один над всей вселенной,,А. Ледяев,,,,D,2/4,Умеренный,94,,,,
Благословен ,,,,,,C,2/4,Умеренный,66,Прославление,,,
Святый Господь,,,,,,,,,,,,,
Правит Бог,,,,,,,,,,,,,
Стою я склонясь,,,,,,,,,,,,,
Он великий Царь царей,,,,,,,,,,,,,
Слава и хвала ,,,,,,,4/4,,,,,,
Вся слава вся сила ,,,,Вся слава (https://dl.airtable.com/WQLjLevAR26NkGU7qWIS_%D0%92%D1%81%D1%8F%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B0),,Dm,4/4,Умеренный,,,,,
Мы взойдем ,,ахвегс,,,,,,,,,,,
Его имя выше всех ,,ахвегс,,Его имя выше всех (https://dl.airtable.com/INr8lu3XRBSVydPB68B8_%D0%95%D0%B3%D0%BE%20%D0%B8%D0%BC%D1%8F%20%D0%B2%D1%8B%D1%88%D0%B5%20%D0%B2%D1%81%D0%B5%D1%85),,D,4/4,Умеренный,,Утверждение и Посвящение,,,
Все награды и венцы,,,,Все награды и венцы свои отдам (https://dl.airtable.com/iXGRQUwMQXiSMgrM94zA_%D0%92%D1%81%D0%B5%20%D0%BD%D0%B0%D0%B3%D1%80%D0%B0%D0%B4%D1%8B%20%D0%B8%20%D0%B2%D0%B5%D0%BD%D1%86%D1%8B%20%D1%81%D0%B2%D0%BE%D0%B8%20%D0%BE%D1%82%D0%B4%D0%B0%D0%BC),,G,4/4,Умеренный,68,Утверждение и Посвящение,,,
Пришел за золотом я ,в любви не дай остыть,,,,,Em,4/4,Быстрый,,Молитва и Обновление,,,
Каждый миг и каждый час,,,,Каждый миг (https://dl.airtable.com/tAEi2JETsebbwn11uBJQ_%D0%9A%D0%B0%D0%B6%D0%B4%D1%8B%D0%B9%20%D0%BC%D0%B8%D0%B3),,F,4/4,Быстрый,,Любовь Благодать и Милость,Десятина,,
Достоин Агнец ,,,,,,A,4/4,,,,,,
В слово чье ,,ахвегс,,В слово чьё (https://dl.airtable.com/Fy91ztYRSjaHHnPjMF1P_%D0%92%20%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%20%D1%87%D1%8C%D1%91),,Em,4/4,Быстрый,,Утверждение и Посвящение,,,
Благодарю Тебя Иисус,За Голгофу за кровь,,,Благодарю Тебя Иисус (https://dl.airtable.com/Uy0AVcUWQgaFAUzvOhcb_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D1%8E%20%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%98%D0%B8%D1%81%D1%83%D1%81),,D,4/4,Умеренный,66,Страдания Жертва Воскресение Искупление,Причастие,,
Я хочу быть таким как Ты Иисус,Мой сосуд в Твоих руках,ахвегс,,,,D,2/4,Умеренный,,,,,
Он любит всей душой,,,,,,,,,,,,,
Как я люблю быть с Тобой ,,,,,,D,,,,,,,
Явись сияй Твой прекрасен свет,,ахвегс,,,,D,2/4,Умеренный,,,,,
Помазанье сойди на меня ,,ахвегс,,,,,4/4,Умеренный,70,,,,
Течет радость,,,,,,,,,,,,,
Мы поем Тебе хвалу ,,ахвегс,,Мы поем тебе хвалу (https://dl.airtable.com/OhHdIrdSuCnAtafMV4Xl_%D0%9C%D1%8B%20%D0%BF%D0%BE%D0%B5%D0%BC%20%D1%82%D0%B5%D0%B1%D0%B5%20%D1%85%D0%B2%D0%B0%D0%BB%D1%83),,"A,F,G",4/4,Умеренный,,,,,
Как обещал ты пришел,,ахвегс,,,,C,6/8,,,,,,
Народ новый восстает,,ахвегс,,,,Em,4/4,Быстрый,,,,,
Я надеваю одежды хвалы,,ахвегс,,,,F,2/4,Быстрый,,,,,
Окружи меня Дух Святой,,,,Оковы пали (https://dl.airtable.com/ufiJjWpuTluCx1apIcrt_%D0%9E%D0%BA%D0%BE%D0%B2%D1%8B%20%D0%BF%D0%B0%D0%BB%D0%B8),,Cm,2/4,Медленный,60,Любовь Благодать и Милость,,,
Просто я благодарю ,Благодарю тебя Иисус,ахвегс,,,,,4/4,Умеренный,,,,,
Песня Давида (Буду петь и плясать) ,,ахвегс,,,,,2/4,Быстрый,,,,,
Ты наш Святой Господь ,,,,"Ты наш святой Господь (https://dl.airtable.com/VN6kbdUFS6a8e9RoKjyg_%D0%A2%D1%8B%20%D0%BD%D0%B0%D1%88%20%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),Ты наш святой Господь D (https://dl.airtable.com/i3BdDcXuS4u4tlQsrzic_%D0%A2%D1%8B%20%D0%BD%D0%B0%D1%88%20%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20D)",,C,4/4,Умеренный,,"Утверждение и Посвящение,Любовь Благодать и Милость",,,
Ты наш Бог сотворил все небо и всю землю всемогущей силой,,ахвегс,,Ты наш Бог (https://dl.airtable.com/PLRQc4krROmwCC9RflkK_%D0%A2%D1%8B%20%D0%BD%D0%B0%D1%88%20%D0%91%D0%BE%D0%B3),,C,4/4,Умеренный,,Качества Бога,,,
Над землей лишь один Господь ,,А. Ледяев,,,,,2/4,,,,,,
Жажду прихожу,,,,,,,,,,,,,
Бог моя скала,,ахвегс,,Бог моя скала (https://dl.airtable.com/XwcKskQStm8x7Ti99RGA_%D0%91%D0%BE%D0%B3%20%D0%BC%D0%BE%D1%8F%20%D1%81%D0%BA%D0%B0%D0%BB%D0%B0),,D,4/4,Быстрый,,Утверждение и Посвящение,,,
Ты есть мой Бог,,,,,,,,,,,,,
Бог Тебя люблю я ,,ахвегс,,,,,,,,,,,
Свят Господь,,,,,,,,,,,,,
Да Он есть Альфа и Омега ,,дж.Э,,,,,,,,,,,
Сильных низвергнем,,,,,,,2/4,Быстрый,,,,,
Крест Голгофский ,,Краеугольный камень,,Крест Голгофский (https://dl.airtable.com/Cr3XNjxQUWDWHXXQJS0f_%D0%9A%D1%80%D0%B5%D1%81%D1%82%20%D0%93%D0%BE%D0%BB%D0%B3%D0%BE%D1%84%D1%81%D0%BA%D0%B8%D0%B9),,Dm,4/4,Умеренный,,Страдания Жертва Воскресение Искупление,Пасха,,
Кровь Христа Иисуса ,,ахвегс,,,,C,,,,,,,
Милость нисходит ,,ахвегс,,,,"D,E",4/4,Быстрый,,,,,
Наш Бог Он прекрасный Бог ,,ахвегс,,Наш Бог Он прекрасный (https://dl.airtable.com/QBkYPViqSHSJXRx37LEw_%D0%9D%D0%B0%D1%88%20%D0%91%D0%BE%D0%B3%20%D0%9E%D0%BD%20%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9),,Em,2/4,Умеренный,,,,,
Иисус Господь Иисус есть Царь,Скоро город изменится,ахвегс,,Иисус - Господь (https://dl.airtable.com/bkO4rWq7RpykCdNnU3uC_%D0%98%D0%B8%D1%81%D1%83%D1%81%20-%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,Em,4/4,Умеренный,,,,,
Как олень ,,ахвегс,,,,D,4/4,,,,,,
Во Христе одна семья,,,,,,,4/4,,,,,,
О Святой Господь ,Миру нашим сердцем уже не владеть никогда,,,,,C,4/4,Быстрый,,,,,
Устами споем,Мы божий народ названный Им,,,,,,6/8,Умеренный,,,,,
Люблю я больше всех,,,,,,D,,,,,,,
