Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Свято Твое имя,,,,,,,4/4,Умеренный,,,,,
Решил идти я за Иисусом ,,ахвегс,,Решил идти я за Иисусом (https://dl.airtable.com/PSWFZm2QTTGj2kH9XtWO_%D0%A0%D0%B5%D1%88%D0%B8%D0%BB%20%D0%B8%D0%B4%D1%82%D0%B8%20%D1%8F%20%D0%B7%D0%B0%20%D0%98%D0%B8%D1%81%D1%83%D1%81%D0%BE%D0%BC),,C,4/4,,,,,,
Сад внутри меня,,,,,,,4/4,Быстрый,,,,,
О благодать,,,,,,,3/4,Умеренный,,,,,
Божья армия,Эммануил ,ахвегс,,Божья армия (https://dl.airtable.com/mF8l4iMSCai4Dp3qZBlg_%D0%91%D0%BE%D0%B6%D1%8C%D1%8F%20%D0%B0%D1%80%D0%BC%D0%B8%D1%8F),,Gm,2/4,Быстрый,,Утверждение и Посвящение,,,
С рождеством тебя,,Imprintband,,,,,4/4,Умеренный,,,,,
Царь царей,Господь Господ слава алллилуйя,,,,,,4/4,,,,,,
Создатель всей Вселенной  ,,,,Создатель всей вселенной (https://dl.airtable.com/yyJmITc3T06ViMeq257j_%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%B2%D1%81%D0%B5%D0%B9%20%D0%B2%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9),,Gm,2/4,Умеренный,74,Молитва и Обновление,,,
Святый святый Ты Господь ,,,,Святый Святый Ты Господь (https://dl.airtable.com/ST73GSrrS8qjpgERb8gq_%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%A2%D1%8B%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,A,,Умеренный,,Прославление,,,
Я теперь рядом с Тобой ,,,,Я теперь рядом (https://dl.airtable.com/CSEdiTmT1CmaFR4qCHtB_%D0%AF%20%D1%82%D0%B5%D0%BF%D0%B5%D1%80%D1%8C%20%D1%80%D1%8F%D0%B4%D0%BE%D0%BC),,Dm,4/4,Быстрый,,Страдания Жертва Воскресение Искупление,,,
Блажен народ  у которого,,Новое Поколение,,Блажен народ (https://dl.airtable.com/sOyhAh97RSVo1njmQacw_%D0%91%D0%BB%D0%B0%D0%B6%D0%B5%D0%BD%20%D0%BD%D0%B0%D1%80%D0%BE%D0%B4),,Dm,2/4,Умеренный,76,Утверждение и Посвящение,Десятина,,
Приблизь меня к Себе,,,,Приблизь  меня к Себе (https://dl.airtable.com/twXGUhqTAWEcdQwRI8lM_%D0%9F%D1%80%D0%B8%D0%B1%D0%BB%D0%B8%D0%B7%D1%8C%20%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D0%BA%20%D0%A1%D0%B5%D0%B1%D0%B5),,A,,,,,,,
Мир увидит Божье Царство ,Пой аллилуйя,ахвегс,,"Мир увидит Божье Царство Dm (https://dl.airtable.com/B6v9d3TSqm07od0G6GZs_%D0%9C%D0%B8%D1%80%20%D1%83%D0%B2%D0%B8%D0%B4%D0%B8%D1%82%20%D0%91%D0%BE%D0%B6%D1%8C%D0%B5%20%D0%A6%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%BE%20Dm),Мир увидит Божье Царство Em (https://dl.airtable.com/ZvvZgQPkQOye46y79hek_%D0%9C%D0%B8%D1%80%20%D1%83%D0%B2%D0%B8%D0%B4%D0%B8%D1%82%20%D0%91%D0%BE%D0%B6%D1%8C%D0%B5%20%D0%A6%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%BE%20Em)",,"Dm,Em",4/4,Медленный,66,Любовь Благодать и Милость,,,
Возрадуемся ,,,,Возрадуемся возрадуемся (https://dl.airtable.com/Zhumw1QWSBqX6glK1Tkn_%D0%92%D0%BE%D0%B7%D1%80%D0%B0%D0%B4%D1%83%D0%B5%D0%BC%D1%81%D1%8F%20%D0%B2%D0%BE%D0%B7%D1%80%D0%B0%D0%B4%D1%83%D0%B5%D0%BC%D1%81%D1%8F),,"F,B",4/4,Быстрый,,Церковь и Единство,,,
В веянии тихого ветра,,,,В веянии тихого ветра (https://dl.airtable.com/4j01NdTyS8WqhYN0Bdmr_%D0%92%20%D0%B2%D0%B5%D1%8F%D0%BD%D0%B8%D0%B8%20%D1%82%D0%B8%D1%85%D0%BE%D0%B3%D0%BE%20%D0%B2%D0%B5%D1%82%D1%80%D0%B0),,Dm,2/4,Умеренный,,Утверждение и Посвящение,,,
Поклонюсь я сердцем моим ,,,,,,F,2/4,Умеренный,70,,,,
Под праздник Пасхи,,,,,,,,Умеренный,66,,,,
Давайте славить Бога,,,,,,,,,,,,,
В танце Бога славим ,,,,,,C,4/4,Быстрый,,Церковь и Единство,,,
Дух Святой призываем мы,,ахвегс,,Дух Святой (https://dl.airtable.com/LgcTJFWcSBu1NooIAgol_%D0%94%D1%83%D1%85%20%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9),,G,4/4,Быстрый,,Утверждение и Посвящение,,,
Он свят воззови и Он ответит,,,,,,D,4/4,Умеренный,70,,,,
Из-за крови Христа ,,,,,,,,,,Утверждение и Посвящение,Причастие,,
Отче обьедини,,,,,,,,,,,,,
Господь приглашаем ,,ахвегс,,,,C,4/4,Умеренный,,,,,
Небо окропило землю,,,,,,,,,,,,,
Я буду славить Его,,,,,,,,,,,,,
Слава Богу в вышних,,,,,,,4/4,Быстрый,150,,,,
Если Бог за нас,,,,,,,,,,,,,
Тому чей неба престол ,,ахвегс,,Тому чей небо престол (https://dl.airtable.com/7QNJfJF2StOjrTCwxqJO_%D0%A2%D0%BE%D0%BC%D1%83%20%D1%87%D0%B5%D0%B9%20%D0%BD%D0%B5%D0%B1%D0%BE%20%D0%BF%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%BB),,C,4/4,Умеренный,,,,,
В Тебе укроюсь я ,,ахвегс,,,,Am,4/4,Медленный,,Утверждение и Посвящение,,,
Мне хорошо в доме Твоем,В Твоем Святом присутствии,В. Короп,,,,,2/4,Умеренный,,,,,
Лучший друг,,,,,,,,,,,,,
Я приду и паду ,,ахвегс,,,,D,4/4,Умеренный,,,,,
Воздайте Богу славу ,,,,,,G,4/4,Быстрый,,,,,
Иисус все для Тебя ,,,,,,D,4/4,Умеренный,80,,,,
Свят Бог Саваоф,,,,,,,4/4,Умеренный,70,,,,
Бог пробуждение шлет ,,,,Бог пробуждение шлёт (https://dl.airtable.com/h5M2631XQLOUoIz2xYEj_%D0%91%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B1%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%88%D0%BB%D1%91%D1%82),,G,2/4,Быстрый,,Благовествование,,,
Ты мой Господь,,,,Ты - мой Господь (https://dl.airtable.com/hbnsMEQrTwaKSIz7gPpe_%D0%A2%D1%8B%20-%20%D0%BC%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,D,4/4,Умеренный,66,,,,
Наш Бог полная версия   ,,ахвегс,,,,Em,,Быстрый,,,,,
Ангелы поют славу,,МироТворец,,Ангелы поют славу (https://dl.airtable.com/amFnJ4UWR7yXA63VkliB_%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D1%8B%20%D0%BF%D0%BE%D1%8E%D1%82%20%D1%81%D0%BB%D0%B0%D0%B2%D1%83),Ангелы поют славу (Key - C).pdf (https://dl.airtable.com/F7pfKkiUS6mS2uNw8Ywh_%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D1%8B%20%D0%BF%D0%BE%D1%8E%D1%82%20%D1%81%D0%BB%D0%B0%D0%B2%D1%83%20(Key%20-%20C).pdf),C,4/4,Умеренный,70,Прославление,Рождество,,
Крик радости,,,,,,,,,,,,,
Войдем ,,ахвегс,,,,E,4/4,,,,,,
Свят,,,,,,,,,,,,,
О Иисус друг лучший мой,,,,,,G,4/4,Умеренный,,,,,
Славим поклоняемся Тебе ,,ахвегс,,Славим поклоняемся Тебе (https://dl.airtable.com/bufhymMvT1OHgdBe8el6_%D0%A1%D0%BB%D0%B0%D0%B2%D0%B8%D0%BC%20%D0%BF%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D1%8F%D0%B5%D0%BC%D1%81%D1%8F%20%D0%A2%D0%B5%D0%B1%D0%B5),,C,4/4,,,,,,
Ты наш Бог сотворил все небо  ,Нет ничто не сложно для Тебя,ахвегс,,,,C,4/4,Быстрый,,,,,
Явись во имя Иисуса,,,,,,,2/4,Умеренный,,,,,
Есть внутри меня надежда ,,,,Есть внутри меня надежда (https://dl.airtable.com/hthKIkcESG67w8LeWsa4_%D0%95%D1%81%D1%82%D1%8C%20%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B8%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0),,Dm,,Умеренный,,,,,
Благословен наш Бог дарующий любовь,,ахвегс,,Благословен наш Бог (https://dl.airtable.com/mF3W4PiuR7iDBCr9yLyY_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D1%81%D0%BB%D0%BE%D0%B2%D0%B5%D0%BD%20%D0%BD%D0%B0%D1%88%20%D0%91%D0%BE%D0%B3),,D,4/4,Умеренный,70,Любовь Благодать и Милость,,,
Дай мне видеть величиеТвое ,,,,Дай мне видеть величие Твое (https://dl.airtable.com/UvvfgsuFRjiopSQJlpcl_%D0%94%D0%B0%D0%B9%20%D0%BC%D0%BD%D0%B5%20%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D1%8C%20%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D0%B5%20%D0%A2%D0%B2%D0%BE%D0%B5),,F,4/4,Умеренный,,Качества Бога,,,
Превозноси Творца хвалой ,,ахвегс,,Превозноси Творца хвалой (https://dl.airtable.com/JIl1B2rQZ6dpqvGDSdfw_%D0%9F%D1%80%D0%B5%D0%B2%D0%BE%D0%B7%D0%BD%D0%BE%D1%81%D0%B8%20%D0%A2%D0%B2%D0%BE%D1%80%D1%86%D0%B0%20%D1%85%D0%B2%D0%B0%D0%BB%D0%BE%D0%B9),,"F,G",4/4,Умеренный,70,,,,
Когда Божий Дух Христа,,,,,,Em,2/4,Быстрый,,,,,
Пой Господу вся земля,,,,Пой Господу вся земля (https://dl.airtable.com/4kBM7WC4QMGLLW2TP0Dq_%D0%9F%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%83%20%D0%B2%D1%81%D1%8F%20%D0%B7%D0%B5%D0%BC%D0%BB%D1%8F),,D,4/4,Быстрый,130,,,,
Хвала Тебе наш Бог,,,,Хвала Тебе наш Бог (https://dl.airtable.com/NMUF2wxTQJ2JQz7EVbpt_%D0%A5%D0%B2%D0%B0%D0%BB%D0%B0%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%BD%D0%B0%D1%88%20%D0%91%D0%BE%D0%B3),,Gm,4/4,,,,,,
Люблю Тебя все больше,,,,,,,,,,,,,
Царствует Господь,,,,,,,,,,,,,
Живой живой,,ахвегс,,Живой (https://dl.airtable.com/Rm0ZvVTRDSAkinP2LU1Q_%D0%96%D0%B8%D0%B2%D0%BE%D0%B9),,C,4/4,Умеренный,,"Призыв к Поклонению,Прославление",,,
Благословенна церковь моя,,Сергей Синицын,,Благословенна церковь моя (https://dl.airtable.com/0OFEBlFSXiZkyFiSMiaY_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D1%81%D0%BB%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%20%D1%86%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C%20%D0%BC%D0%BE%D1%8F),,Gm,4/4,Быстрый,124,Церковь и Единство,,,
Благословлю Тебя в земле изобилия,,,,Благословлю Тебя (https://dl.airtable.com/yPccRXpbSfWLWaorlGWg_%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D1%81%D0%BB%D0%BE%D0%B2%D0%BB%D1%8E%20%D0%A2%D0%B5%D0%B1%D1%8F),,A,,,,Прославление,,,
Блажен тот кто духом ослаб,,JG Youth Worship,,Блажен тот кто духом ослаб (https://dl.airtable.com/7G0LeV1iTi6mE5slPIvp_%D0%91%D0%BB%D0%B0%D0%B6%D0%B5%D0%BD%20%D1%82%D0%BE%D1%82%20%D0%BA%D1%82%D0%BE%20%D0%B4%D1%83%D1%85%D0%BE%D0%BC%20%D0%BE%D1%81%D0%BB%D0%B0%D0%B1),,Dm,,Умеренный,74,Любовь Благодать и Милость,,,
Бог есть Он здесь,,Ятковский,,Бог есть (https://dl.airtable.com/GAjNqAVdQommM36jEdzc_%D0%91%D0%BE%D0%B3%20%D0%B5%D1%81%D1%82%D1%8C),,Gm,4/4,,,Благовествование,,,
Ты Тот кто мне глаза открыл,Верю я в Тебя,Jesus Culture,,Ты тот кто мне глаза открыл (https://dl.airtable.com/kDntRgtFR7m9WJ7JtsJI_%D0%A2%D1%8B%20%D1%82%D0%BE%D1%82%20%D0%BA%D1%82%D0%BE%20%D0%BC%D0%BD%D0%B5%20%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0%20%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D0%BB),,"Hm,F#m",,Умеренный,,Утверждение и Посвящение,Молодёжная,,
В глубины вод меня призвал Ты,Океаны,Hillsong,,В глубины вод (Океаны) (https://dl.airtable.com/USdlrPRRCnRLC4IFg5pQ_%D0%92%20%D0%B3%D0%BB%D1%83%D0%B1%D0%B8%D0%BD%D1%8B%20%D0%B2%D0%BE%D0%B4%20(%D0%9E%D0%BA%D0%B5%D0%B0%D0%BD%D1%8B)),,Hm,,Умеренный,,Утверждение и Посвящение,,,
В любви не дай остыть,,,,В любви не дай остыть (https://dl.airtable.com/AIkeeYhcRNSMKPGAYGIA_%D0%92%20%D0%BB%D1%8E%D0%B1%D0%B2%D0%B8%20%D0%BD%D0%B5%20%D0%B4%D0%B0%D0%B9%20%D0%BE%D1%81%D1%82%D1%8B%D1%82%D1%8C),,D,4/4,Быстрый,,"Любовь Благодать и Милость,Молитва и Обновление",,,
Божий дизайн,,Новый Иерусалим,,Божий дизайн (https://dl.airtable.com/sCpoMN24R9P8sA39zYS7_%D0%91%D0%BE%D0%B6%D0%B8%D0%B9%20%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD),,Am,4/4,Медленный,,Благовествование,,,
Глаза полны любви ,Любовь держит нас,RealIvanna,,Глаза полны любви (Любовь держит нас) (https://dl.airtable.com/SvLulrjIQOOsaVlHVrpM_%D0%93%D0%BB%D0%B0%D0%B7%D0%B0%20%D0%BF%D0%BE%D0%BB%D0%BD%D1%8B%20%D0%BB%D1%8E%D0%B1%D0%B2%D0%B8%20(%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%20%D0%B4%D0%B5%D1%80%D0%B6%D0%B8%D1%82%20%D0%BD%D0%B0%D1%81)),,Dm,,Умеренный,,,,,
Ждем встречи мы,Святая земля,,,Ждём встречи мы (Святая земля) (https://dl.airtable.com/H1SrlzeCQwauJQLwVsRb_%D0%96%D0%B4%D1%91%D0%BC%20%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B8%20%D0%BC%D1%8B%20(%D0%A1%D0%B2%D1%8F%D1%82%D0%B0%D1%8F%20%D0%B7%D0%B5%D0%BC%D0%BB%D1%8F)),,Ab,,,,,Молодёжная,,
Жизнь,Закрыв души глаза,Эдем,,Жизнь (https://dl.airtable.com/5ApXYNrSTJeW3XO0hBpB_%D0%96%D0%B8%D0%B7%D0%BD%D1%8C),,,,,,,,,
Забрал мой грех и сердце мое,Открыл мне глаза,Слово Жизни Youth,,Забрал мой грех и сердце мое (Открыл мне глаза) (https://dl.airtable.com/FsVAxPaETSaX6AIL3aQl_%D0%97%D0%B0%D0%B1%D1%80%D0%B0%D0%BB%20%D0%BC%D0%BE%D0%B9%20%D0%B3%D1%80%D0%B5%D1%85%20%D0%B8%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BC%D0%BE%D0%B5%20(%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D0%BB%20%D0%BC%D0%BD%D0%B5%20%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0)),,Am,,,,,Молодёжная,,
Знаешь ли ты,,А. Топилин,,Знаешь ли ты (https://dl.airtable.com/4s5GCk0RJSezR78JdVCA_%D0%97%D0%BD%D0%B0%D0%B5%D1%88%D1%8C%20%D0%BB%D0%B8%20%D1%82%D1%8B),,D,,,,Благовествование,,,
Иисус в начале Ты был Словом,Твое Имя прекрасно Бог,Hillsong,,Иисус в начале Ты был Словом (https://dl.airtable.com/R8PU9t1ET4CkKjECnRWR_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%B2%20%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%B5%20%D0%A2%D1%8B%20%D0%B1%D1%8B%D0%BB%20%D0%A1%D0%BB%D0%BE%D0%B2%D0%BE%D0%BC),,D,4/4,,,,,,
Иисус Ты жизнь отдав,,,,Иисус Ты жизнь отдав (https://dl.airtable.com/cKTezrAPSNalddrdxoIj_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%A2%D1%8B%20%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C%20%D0%BE%D1%82%D0%B4%D0%B0%D0%B2),,Dm,4/4,Медленный,66,,,,
Каждый год мы холодным зимним днем,,,,Каждый год мы холодным зимним днём (https://dl.airtable.com/mRMwNl6BQce0L4QUsJph_%D0%9A%D0%B0%D0%B6%D0%B4%D1%8B%D0%B9%20%D0%B3%D0%BE%D0%B4%20%D0%BC%D1%8B%20%D1%85%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D1%8B%D0%BC%20%D0%B7%D0%B8%D0%BC%D0%BD%D0%B8%D0%BC%20%D0%B4%D0%BD%D1%91%D0%BC),,A,4/4,,,,Рождество,,
Каждый ищет место,,А. Шкляев,,Каждый ищет место (https://dl.airtable.com/6tvQyAN6QI2Qtfzlnn3J_%D0%9A%D0%B0%D0%B6%D0%B4%D1%8B%D0%B9%20%D0%B8%D1%89%D0%B5%D1%82%20%D0%BC%D0%B5%D1%81%D1%82%D0%BE),,E,4/4,,,,,,
Как я устал быть в оковах,,А. Шкляев,,Как я устал быть в оковах (https://dl.airtable.com/dFBA0x1TQHSx0xm3zFNV_%D0%9A%D0%B0%D0%BA%20%D1%8F%20%D1%83%D1%81%D1%82%D0%B0%D0%BB%20%D0%B1%D1%8B%D1%82%D1%8C%20%D0%B2%20%D0%BE%D0%BA%D0%BE%D0%B2%D0%B0%D1%85),,Em,4/4,Умеренный,,,Молодёжная,,
Мудрецы под вечер,День Рождества,,,Мудрецы под вечер (https://dl.airtable.com/dW0OLgHxSo6vKVZRyUZL_%D0%9C%D1%83%D0%B4%D1%80%D0%B5%D1%86%D1%8B%20%D0%BF%D0%BE%D0%B4%20%D0%B2%D0%B5%D1%87%D0%B5%D1%80),,C,4/4,Умеренный,,,Рождество,,
Стою я здесь,На шаг ближе,Филипп Реннер,,На шаг ближе (https://dl.airtable.com/Xvx8qFaqRK2aUKgLoDcz_%D0%9D%D0%B0%20%D1%88%D0%B0%D0%B3%20%D0%B1%D0%BB%D0%B8%D0%B6%D0%B5),,E,,,,,,,
Высоко на третьем небе,Небеса,,,Небеса (Высоко на третьем небе) (https://dl.airtable.com/Pm7XpVnbRCzKirTMPD0w_%D0%9D%D0%B5%D0%B1%D0%B5%D1%81%D0%B0%20(%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%20%D0%BD%D0%B0%20%D1%82%D1%80%D0%B5%D1%82%D1%8C%D0%B5%D0%BC%20%D0%BD%D0%B5%D0%B1%D0%B5)),,A,,,,Благовествование,Молодёжная,,
Как много разных разговоров мы слышим вокруг,Разговор с Богом,Кузнецов В.П.,,Разговор с Богом (https://dl.airtable.com/TTVVtYDBRgyydUbpOm0o_%D0%A0%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%20%D1%81%20%D0%91%D0%BE%D0%B3%D0%BE%D0%BC),,F,4/4,,,,,,
С днем рождения,,Ятковский,,С днем рождения (https://dl.airtable.com/ZTLHAsdfQYWqPAyeViq4_%D0%A1%20%D0%B4%D0%BD%D0%B5%D0%BC%20%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F),,F,,,,,,,
Свято будет имя Твое,Имя Господне крепкая башня,,,Свято будет имя Твоё (https://dl.airtable.com/fgdoLuGeShuLWYlMRC7i_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%20%D0%B1%D1%83%D0%B4%D0%B5%D1%82%20%D0%B8%D0%BC%D1%8F%20%D0%A2%D0%B2%D0%BE%D1%91),,F,4/4,Быстрый,,,,,
Сила в Крови,Твоими ранами,Океан любви,,Сила в Крови (https://dl.airtable.com/eoNYA1nQQymNJvVf1pPt_%D0%A1%D0%B8%D0%BB%D0%B0%20%D0%B2%20%D0%9A%D1%80%D0%BE%D0%B2%D0%B8),,Gm,,,,,Молодёжная,,
Твоя любовь исцелила душу мою,Ты достоин,Новый Завет NTWorship,,Твоя любовь исцелила душу мою (https://dl.airtable.com/ixCEipHeTfGS4WgPMpU3_%D0%A2%D0%B2%D0%BE%D1%8F%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%20%D0%B8%D1%81%D1%86%D0%B5%D0%BB%D0%B8%D0%BB%D0%B0%20%D0%B4%D1%83%D1%88%D1%83%20%D0%BC%D0%BE%D1%8E),,Hm,,,,,Молодёжная,,
Твоя любовь как море,,"ц.""Вифания"" (г.Краснодар)",,Твоя любовь как море (https://dl.airtable.com/hklOj8oQ86AMoHVDqXQY_%D0%A2%D0%B2%D0%BE%D1%8F%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D1%80%D0%B5),,С#m,,,,,Молодёжная,,
Тихо город спит,,Hillsong,,Тихо город спит (https://dl.airtable.com/u4mKV3LJRmuuobeOmLaT_%D0%A2%D0%B8%D1%85%D0%BE%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%20%D1%81%D0%BF%D0%B8%D1%82),,H,4/4,Умеренный,76,,Рождество,,
Ты мира свет,Я здесь чтобы славить,,,Ты – мира свет (https://dl.airtable.com/LmRsQForQdScssiFUbiS_%D0%A2%D1%8B%20%E2%80%93%20%D0%BC%D0%B8%D1%80%D0%B0%20%D1%81%D0%B2%D0%B5%D1%82),,F,4/4,Умеренный,,,,,
Ты над городом этим,,Hillsong,,Ты над городом этим (https://dl.airtable.com/baJDbHjuS4qLc3zXrzUS_%D0%A2%D1%8B%20%D0%BD%D0%B0%D0%B4%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BE%D0%BC%20%D1%8D%D1%82%D0%B8%D0%BC),,E,4/4,Умеренный,,,Молодёжная,,
Ты никогда не предашь меня,В бурю и в ураган,,,Ты никогда не предашь меня (https://dl.airtable.com/1am4XA5lSO2HsfmMSfYT_%D0%A2%D1%8B%20%D0%BD%D0%B8%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0%20%D0%BD%D0%B5%20%D0%BF%D1%80%D0%B5%D0%B4%D0%B0%D1%88%D1%8C%20%D0%BC%D0%B5%D0%BD%D1%8F),,Dm,,,,,,,